question_set,question,choice,"Organization","Issue area","Financial transparency","Accountability","Funding sources","Relationship with host government"
11,3,1,1,2,2,2,1,3
11,3,2,2,2,1,2,3,1
11,3,3,4,1,1,2,3,3
11,4,1,3,4,2,1,1,1
11,4,2,2,3,2,2,3,1
11,4,3,1,3,1,1,2,3
11,5,1,1,1,1,1,1,3
11,5,2,2,3,1,1,2,1
11,5,3,2,4,2,1,3,3
11,6,1,2,1,2,2,2,3
11,6,2,1,4,2,1,1,1
11,6,3,1,3,1,2,2,1
11,7,1,3,3,2,1,2,2
11,7,2,3,3,1,2,1,2
11,7,3,4,2,2,1,3,2
11,8,1,4,4,2,1,3,3
11,8,2,3,2,1,2,1,3
11,8,3,1,4,1,1,1,2
11,9,1,4,1,2,1,1,3
11,9,2,1,1,1,2,3,1
11,9,3,3,1,1,2,3,2
11,10,1,4,2,1,2,3,2
11,10,2,4,3,1,1,1,3
11,10,3,2,4,2,2,1,1
11,11,1,4,2,1,2,1,1
11,11,2,1,3,2,2,3,1
11,11,3,1,4,1,1,3,1
11,12,1,2,1,1,1,2,2
11,12,2,3,1,2,2,2,2
11,12,3,3,3,2,1,2,2
12,1,1,2,3,1,1,3,1
12,1,2,3,3,1,2,2,1
12,1,3,1,3,2,2,1,3
12,2,1,2,3,2,1,2,3
12,2,2,3,3,2,1,1,2
12,2,3,2,2,1,2,2,3
12,3,1,2,2,2,1,3,2
12,3,2,4,2,1,1,3,1
12,3,3,4,1,1,2,1,2
12,4,1,4,4,2,1,3,2
12,4,2,3,2,1,1,2,1
12,4,3,2,4,2,2,1,1
12,5,1,4,2,2,1,1,1
12,5,2,2,1,2,2,3,3
12,5,3,3,1,2,2,3,2
12,6,1,4,1,2,1,1,3
12,6,2,3,4,1,1,3,2
12,6,3,3,3,2,2,1,2
12,7,1,2,1,2,2,2,1
12,7,2,3,3,1,2,2,1
12,7,3,4,4,2,2,2,2
12,8,1,2,1,1,2,3,3
12,8,2,4,2,2,1,2,2
12,8,3,1,4,1,1,3,3
12,9,1,1,3,1,2,1,3
12,9,2,4,1,2,1,2,3
12,9,3,1,1,1,2,2,1
12,10,1,3,4,2,1,1,3
12,10,2,1,2,2,2,2,1
12,10,3,1,4,2,1,3,1
12,11,1,1,1,1,1,3,3
12,11,2,1,2,1,1,1,3
12,11,3,4,4,1,2,1,2
12,12,1,3,4,1,2,3,2
12,12,2,2,2,1,2,1,1
12,12,3,1,3,1,1,2,2
13,1,1,2,3,1,2,1,3
13,1,2,1,4,2,2,3,3
13,1,3,2,3,2,1,1,3
13,2,1,4,1,1,1,3,1
13,2,2,4,4,1,1,3,1
13,2,3,3,1,1,1,3,3
13,3,1,1,1,2,1,1,3
13,3,2,2,2,1,2,2,2
13,3,3,3,3,1,2,1,3
13,4,1,4,3,2,2,2,3
13,4,2,2,3,2,1,1,2
13,4,3,1,1,2,1,1,2
13,5,1,1,2,1,1,3,2
13,5,2,4,2,2,1,3,2
13,5,3,2,4,2,2,3,1
13,6,1,3,2,1,2,2,3
13,6,2,2,1,2,2,3,2
13,6,3,4,4,1,2,2,1
13,7,1,3,3,2,1,2,3
13,7,2,1,4,2,2,2,1
13,7,3,4,3,1,1,1,2
13,8,1,3,2,2,2,3,1
13,8,2,1,4,1,1,1,3
13,8,3,3,2,2,1,2,3
13,9,1,1,4,2,2,1,2
13,9,2,3,1,1,2,2,1
13,9,3,1,4,1,2,2,2
13,10,1,2,1,1,2,2,1
13,10,2,3,3,2,2,1,2
13,10,3,4,1,1,1,1,1
13,11,1,4,1,2,1,3,2
13,11,2,1,2,1,1,3,1
13,11,3,2,2,1,1,1,1
13,12,1,3,3,2,1,3,1
13,12,2,2,2,2,2,2,3
13,12,3,4,4,1,2,2,2
14,1,1,2,1,1,1,2,1
14,1,2,4,4,1,2,1,3
14,1,3,3,3,1,1,3,1
14,2,1,1,2,2,1,2,3
14,2,2,1,4,1,1,3,1
14,2,3,2,3,1,1,3,2
14,3,1,3,3,1,2,2,2
14,3,2,1,2,1,2,1,3
14,3,3,1,2,1,2,2,2
14,4,1,1,2,1,2,3,1
14,4,2,1,4,2,1,1,2
14,4,3,2,2,1,1,3,3
14,5,1,3,1,1,2,1,1
14,5,2,3,1,2,2,1,1
14,5,3,3,3,1,1,3,1
14,6,1,4,3,2,1,2,2
14,6,2,1,1,1,2,3,2
14,6,3,2,4,2,1,3,2
14,7,1,4,4,1,1,2,1
14,7,2,3,3,2,2,1,3
14,7,3,4,4,2,2,3,3
14,8,1,2,3,2,2,1,3
14,8,2,4,1,2,2,3,3
14,8,3,3,2,2,1,2,3
14,9,1,3,4,2,1,3,3
14,9,2,2,4,2,2,3,1
14,9,3,4,1,2,1,1,1
14,10,1,2,2,1,2,2,3
14,10,2,4,1,1,2,1,2
14,10,3,4,2,2,1,1,2
14,11,1,3,3,1,2,1,3
14,11,2,1,1,2,1,2,2
14,11,3,1,2,2,2,2,2
14,12,1,2,4,1,2,1,1
14,12,2,4,1,2,1,2,1
14,12,3,2,3,2,1,2,2
15,1,1,2,1,2,1,1,3
15,1,2,4,2,1,2,2,1
15,1,3,3,2,1,1,2,2
15,2,1,3,4,1,1,1,1
15,2,2,4,3,2,2,2,3
15,2,3,3,3,1,2,1,2
15,3,1,1,2,2,1,3,1
15,3,2,3,4,1,1,2,1
15,3,3,2,4,1,1,1,3
15,4,1,4,1,1,1,3,2
15,4,2,1,3,1,2,3,3
15,4,3,3,1,2,2,2,2
15,5,1,2,3,1,2,2,2
15,5,2,4,1,2,1,1,3
15,5,3,3,4,2,2,3,1
15,6,1,3,2,1,2,2,1
15,6,2,1,4,2,1,3,2
15,6,3,4,2,1,1,1,1
15,7,1,2,1,2,2,3,2
15,7,2,1,4,1,2,2,1
15,7,3,3,3,1,2,2,2
15,8,1,1,3,2,1,3,2
15,8,2,2,2,1,1,1,1
15,8,3,1,1,2,2,1,3
15,9,1,1,2,2,1,1,3
15,9,2,2,4,2,1,3,2
15,9,3,4,4,2,2,1,3
15,10,1,4,4,2,2,3,3
15,10,2,4,3,2,2,3,3
15,10,3,2,1,2,1,2,1
15,11,1,2,3,2,1,1,1
15,11,2,3,1,1,2,3,2
15,11,3,1,3,1,2,2,3
15,12,1,2,1,1,2,2,2
15,12,2,4,2,2,1,1,3
15,12,3,1,2,1,1,3,1
16,1,1,4,1,2,1,1,1
16,1,2,1,2,2,2,1,1
16,1,3,2,4,1,2,3,2
16,2,1,4,4,1,1,1,3
16,2,2,1,4,2,1,3,3
16,2,3,4,2,1,1,3,3
16,3,1,4,1,2,2,2,1
16,3,2,4,4,1,1,1,2
16,3,3,3,4,1,2,2,3
16,4,1,3,1,2,1,1,1
16,4,2,2,3,1,2,3,1
16,4,3,1,1,1,2,2,3
16,5,1,3,3,2,1,2,1
16,5,2,4,2,2,1,3,3
16,5,3,4,2,1,2,3,3
16,6,1,1,4,1,1,1,2
16,6,2,2,1,1,2,1,2
16,6,3,3,2,2,2,3,2
16,7,1,2,3,2,2,2,1
16,7,2,2,3,1,2,2,1
16,7,3,4,3,2,1,1,1
16,8,1,1,4,2,1,3,3
16,8,2,4,2,1,2,2,2
16,8,3,3,3,2,2,2,3
16,9,1,1,2,2,1,3,3
16,9,2,1,1,2,1,3,2
16,9,3,2,3,2,1,2,3
16,10,1,2,1,2,2,1,1
16,10,2,1,1,1,2,2,2
16,10,3,1,4,1,2,1,3
16,11,1,3,4,1,1,1,1
16,11,2,2,3,2,1,2,2
16,11,3,3,1,2,2,1,1
16,12,1,2,2,1,1,2,2
16,12,2,3,2,1,2,3,2
16,12,3,3,3,1,1,3,2
17,1,1,4,1,2,2,1,3
17,1,2,4,4,1,2,3,2
17,1,3,3,4,1,2,1,1
17,2,1,2,4,1,1,3,1
17,2,2,4,3,1,1,3,1
17,2,3,4,3,2,1,3,1
17,3,1,1,2,2,2,2,3
17,3,2,2,2,2,1,2,1
17,3,3,2,1,1,1,2,2
17,4,1,3,2,2,1,2,2
17,4,2,1,2,2,2,1,3
17,4,3,3,1,2,1,2,3
17,5,1,1,4,2,1,1,1
17,5,2,3,4,1,2,3,2
17,5,3,2,4,1,1,1,3
17,6,1,2,2,2,2,1,3
17,6,2,1,2,1,2,1,3
17,6,3,2,3,1,2,2,1
17,7,1,2,1,2,2,3,2
17,7,2,3,1,1,2,3,2
17,7,3,3,2,2,1,3,2
17,8,1,1,3,1,1,2,2
17,8,2,3,1,1,2,1,3
17,8,3,4,4,1,1,2,2
17,9,1,1,4,2,1,2,3
17,9,2,1,3,2,1,2,1
17,9,3,4,1,1,1,1,3
17,10,1,2,3,1,2,2,1
17,10,2,4,4,1,2,2,1
17,10,3,1,3,2,1,3,1
17,11,1,2,1,2,1,3,2
17,11,2,1,3,2,2,1,2
17,11,3,4,3,1,2,1,1
17,12,1,3,1,2,1,3,3
17,12,2,4,2,1,2,1,2
17,12,3,3,2,2,2,3,3
18,1,1,1,4,1,1,3,1
18,1,2,3,4,1,1,1,3
18,1,3,4,4,2,2,3,3
18,2,1,3,3,2,2,3,2
18,2,2,1,3,2,1,2,2
18,2,3,2,2,1,2,2,3
18,3,1,1,2,2,2,1,3
18,3,2,2,4,1,1,2,2
18,3,3,4,2,2,1,1,1
18,4,1,3,3,2,2,1,2
18,4,2,1,1,2,1,2,2
18,4,3,1,4,2,2,3,1
18,5,1,4,1,2,1,1,2
18,5,2,3,3,1,1,3,2
18,5,3,2,1,2,1,3,3
18,6,1,3,3,2,2,2,1
18,6,2,3,3,1,2,3,3
18,6,3,1,4,1,1,3,2
18,7,1,2,2,2,2,2,3
18,7,2,2,3,2,1,1,3
18,7,3,3,1,1,1,3,1
18,8,1,2,4,1,2,1,3
18,8,2,3,3,1,2,1,1
18,8,3,4,4,1,2,1,3
18,9,1,1,2,1,2,3,1
18,9,2,4,2,2,2,2,2
18,9,3,4,2,2,1,3,1
18,10,1,4,1,1,1,2,2
18,10,2,4,2,1,2,2,3
18,10,3,3,1,1,1,1,2
18,11,1,1,1,2,1,3,1
18,11,2,2,3,2,1,1,1
18,11,3,2,4,1,2,2,1
18,12,1,1,1,1,2,1,2
18,12,2,4,1,2,1,2,3
18,12,3,2,2,1,2,2,1
19,1,1,2,3,2,2,2,3
19,1,2,3,4,2,1,2,1
19,1,3,4,1,2,2,2,3
19,2,1,4,3,1,2,3,2
19,2,2,3,4,2,2,2,3
19,2,3,4,2,1,2,2,2
19,3,1,2,2,1,1,3,3
19,3,2,4,3,2,2,1,3
19,3,3,2,2,2,1,3,1
19,4,1,1,4,1,1,2,3
19,4,2,2,1,1,2,1,1
19,4,3,3,2,2,1,2,2
19,5,1,4,1,1,1,1,1
19,5,2,3,2,1,2,3,1
19,5,3,1,2,2,2,3,1
19,6,1,2,3,2,1,1,1
19,6,2,1,3,2,2,2,1
19,6,3,3,4,1,2,3,3
19,7,1,4,4,2,2,1,3
19,7,2,3,1,1,1,1,3
19,7,3,1,4,1,1,3,2
19,8,1,1,1,2,1,2,2
19,8,2,2,1,1,1,1,1
19,8,3,1,2,2,2,1,2
19,9,1,2,3,1,2,1,1
19,9,2,4,3,2,1,3,2
19,9,3,1,3,1,1,2,1
19,10,1,2,4,2,2,3,2
19,10,2,4,2,1,1,1,3
19,10,3,3,4,1,1,3,3
19,11,1,2,2,2,1,1,2
19,11,2,4,4,2,1,1,2
19,11,3,3,1,2,1,3,2
19,12,1,1,1,1,2,2,2
19,12,2,1,3,1,2,2,3
19,12,3,3,1,1,2,3,1
20,1,1,3,2,1,2,1,1
20,1,2,3,3,1,2,1,3
20,1,3,2,2,1,2,3,2
20,2,1,4,1,1,2,3,3
20,2,2,4,3,1,1,1,2
20,2,3,3,3,1,1,2,2
20,3,1,1,4,1,2,2,2
20,3,2,4,3,2,1,1,1
20,3,3,1,1,2,2,3,3
20,4,1,3,3,2,2,1,1
20,4,2,4,3,1,1,2,1
20,4,3,4,4,1,2,3,2
20,5,1,2,2,1,1,1,2
20,5,2,2,1,2,1,1,1
20,5,3,1,1,1,2,3,2
20,6,1,2,1,2,2,3,1
20,6,2,3,3,2,1,2,3
20,6,3,4,4,2,2,1,1
20,7,1,1,4,2,2,2,1
20,7,2,3,2,2,1,2,3
20,7,3,1,1,2,1,2,1
20,8,1,2,3,1,1,2,2
20,8,2,1,4,2,2,3,3
20,8,3,2,2,2,1,3,3
20,9,1,3,2,2,1,3,3
20,9,2,4,2,2,1,3,3
20,9,3,3,1,1,2,3,1
20,10,1,1,4,2,2,1,3
20,10,2,2,2,2,1,2,2
20,10,3,1,1,2,1,2,2
20,11,1,2,2,1,1,1,1
20,11,2,2,4,1,2,1,3
20,11,3,1,4,1,2,1,2
20,12,1,3,4,1,2,3,2
20,12,2,4,3,1,1,2,1
20,12,3,4,1,2,1,2,3
21,1,1,3,2,2,2,2,1
21,1,2,1,1,1,1,1,1
21,1,3,2,3,2,2,1,3
21,2,1,4,3,2,2,1,3
21,2,2,4,2,2,2,1,3
21,2,3,1,4,2,1,3,3
21,3,1,3,2,2,2,1,3
21,3,2,1,1,2,2,3,2
21,3,3,3,3,1,1,1,1
21,4,1,3,2,1,1,2,3
21,4,2,2,1,1,1,1,2
21,4,3,2,4,2,1,2,1
21,5,1,2,4,1,2,1,3
21,5,2,1,4,2,1,2,2
21,5,3,2,4,2,2,3,3
21,6,1,3,1,1,2,2,1
21,6,2,1,3,2,1,3,1
21,6,3,2,2,2,1,2,3
21,7,1,1,4,1,2,2,2
21,7,2,1,2,1,1,3,2
21,7,3,1,3,1,2,3,2
21,8,1,3,2,2,1,1,2
21,8,2,4,1,1,2,3,1
21,8,3,2,1,1,2,2,3
21,9,1,4,4,2,2,2,3
21,9,2,4,1,1,1,2,1
21,9,3,2,1,2,1,2,1
21,10,1,3,3,1,1,1,1
21,10,2,1,3,1,1,3,2
21,10,3,2,3,2,2,3,3
21,11,1,4,3,1,1,1,1
21,11,2,4,4,1,1,1,2
21,11,3,3,1,1,2,3,2
21,12,1,4,4,2,2,3,2
21,12,2,4,2,2,2,3,2
21,12,3,3,2,1,1,2,1
22,1,1,3,2,1,2,3,3
22,1,2,1,2,2,1,2,2
22,1,3,1,2,1,2,2,2
22,2,1,1,3,1,1,1,2
22,2,2,3,4,2,2,2,1
22,2,3,2,3,1,2,3,3
22,3,1,2,1,1,2,3,3
22,3,2,1,3,2,2,1,1
22,3,3,4,1,1,1,1,2
22,4,1,3,4,1,1,2,1
22,4,2,1,4,2,1,2,1
22,4,3,3,4,2,1,3,2
22,5,1,1,1,2,1,1,3
22,5,2,2,4,1,1,2,1
